,Address,BuildingType,ComplianceStatus,DataYear,DefaultData,ENERGYSTARScore,LargestPropertyUseType,ListOfAllPropertyUseTypes,Neighborhood,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber
1061,1421 15th ave,Multifamily LR (1-4),Compliant,2016,False,42.0,Multifamily Housing,Multifamily Housing,CENTRAL,Low-Rise Multifamily,Qualman,1728800030
1062,1521 15th Ave Apt. Y,Multifamily LR (1-4),Compliant,2016,False,93.0,Multifamily Housing,Multifamily Housing,EAST,Low-Rise Multifamily,Paramount Apartments,1728800070
1063,1615 15th Ave,Multifamily LR (1-4),Compliant,2016,False,38.0,Multifamily Housing,Multifamily Housing,EAST,Low-Rise Multifamily,Bancroft,1728800115
1064,25 W Highland Dr,Multifamily MR (5-9),Compliant,2016,False,53.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Mid-Rise Multifamily,The Narada,1731800135
1065,1205 Queen Anne Avenue N,Multifamily LR (1-4),Compliant,2016,False,86.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,The Park,1731800560
1066,1212 Queen Anne Ave N,Multifamily MR (5-9),Compliant,2016,False,50.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Mid-Rise Multifamily,Queen Anne Heights,1731800620
1067,1321 Queen Anne Ave N,Multifamily MR (5-9),Compliant,2016,False,86.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Mid-Rise Multifamily,The Q,1731800740
1068,1305 queen anne ave N,Multifamily LR (1-4),Compliant,2016,False,79.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,Greenwich,1731800755
1069,1306 1st Ave W,Multifamily LR (1-4),Compliant,2016,False,79.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,The Carlyle,1731800780
1070,21 W Lee ST,Multifamily LR (1-4),Compliant,2016,False,19.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,Hillcrest Manor Apartments,1731800805
1071,101 W. Lee St.,NonResidential,Compliant,2016,False,99.0,K-12 School,K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,St. Anne School,1731800825
1072,1407 2nd Ave W,Multifamily MR (5-9),Compliant,2016,False,90.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Mid-Rise Multifamily,West Town View,1731801080
1073,1411 1st Ave.,NonResidential,Compliant,2016,False,55.0,Worship Facility,Worship Facility,MAGNOLIA / QUEEN ANNE,Worship Facility,St. Anne Church & Rectory,1731801135
1074,23 W Galer ST,Multifamily LR (1-4),Compliant,2016,False,92.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,Queen Anne Court Apartments,1731801330
1075,1428 Queen Anne Avenue North,Multifamily LR (1-4),Compliant,2016,False,18.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,Galer Crest Apartments,1732300005
1076,621 W Galer St,Multifamily LR (1-4),Compliant,2016,False,99.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,Queenview Apartments,1732801350
1077,2929 First Avenue,Multifamily HR (10+),Compliant,2016,False,17.0,,Multifamily Housing,DOWNTOWN,High-Rise Multifamily,The Concord,1734800000
1078,100 Ward Street,Multifamily MR (5-9),Compliant,2016,False,42.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Mid-Rise Multifamily,Continental House Condominium,1744900000
1079,2125 1ST AVE,Multifamily HR (10+),Compliant,2016,False,7.0,Multifamily Housing,"Multifamily Housing, Parking, Swimming Pool",DOWNTOWN,High-Rise Multifamily,Continental Place,1745500000
1080,8745 Greenwood Ave N,Multifamily MR (5-9),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office",NORTHWEST,Mid-Rise Multifamily,Cooper Square,1748200000
1081,1900 S Corgiat Drive,NonResidential,Compliant,2016,False,61.0,Distribution Center,Distribution Center,GREATER DUWAMISH,Distribution Center,Dekeriver LLC,1753700330
1082,500 Aloha St,Multifamily LR (1-4),Compliant,2016,False,16.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,Cornerstone of Queen Anne,1760700000
1083,819 Virginia st,Multifamily HR (10+),Compliant,2016,False,63.0,Multifamily Housing,"Multifamily Housing, Retail Store",DOWNTOWN,High-Rise Multifamily,Cosmopolitan Condo's,1766000000
1084,12550 Greenwood Ave North,Multifamily LR (1-4),Error - Correct Default Data,2016,True,95.0,Multifamily Housing,"Multifamily Housing, Parking",NORTHWEST,Low-Rise Multifamily,Broadview,1785500003
1085,7323 Sandpoint Way NE,Multifamily LR (1-4),Compliant,2016,False,59.0,Multifamily Housing,Multifamily Housing,NORTHEAST,Low-Rise Multifamily,Court At Sand Pointe Condominium,1790800000
1086,903 North 130th Street,Multifamily LR (1-4),Compliant,2016,False,15.0,Multifamily Housing,"Multifamily Housing, Parking",NORTHWEST,Low-Rise Multifamily,Courtyard at Bitter Lake ACO,1792500000
1087,275 W Roy St,Multifamily LR (1-4),Compliant,2016,False,66.0,Multifamily Housing,Multifamily Housing,MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,COURTYARD AT QUEEN ANNE SQ,1792530000
1088,1105 Spring Street,Multifamily HR (10+),Compliant,2016,False,80.0,Multifamily Housing,Multifamily Housing,EAST,High-Rise Multifamily,Decatur Condominiums,1938150000
1089,325 Harvard Ave East,Multifamily MR (5-9),Compliant,2016,False,100.0,Multifamily Housing,Multifamily Housing,EAST,Mid-Rise Multifamily,Delorges Condominium,1945500000
1090,2410 Boyer Ave E,Multifamily LR (1-4),Compliant,2016,False,55.0,Multifamily Housing,Multifamily Housing,NORTHEAST,Low-Rise Multifamily,Four Seasons,1952200066
1091,620 N 85TH ST.,Multifamily LR (1-4),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office, Parking",NORTHWEST,Low-Rise Multifamily,DENICE HUNT TOWNHOMES,1954690000
1092,2500 Franklin Ave. E.,SPS-District K-12,Error - Correct Default Data,2016,True,88.0,K-12 School,K-12 School,LAKE UNION,K-12 School,TOPS K-8,1959700005
1093,2517 Eastlake Ave E,NonResidential,Compliant,2016,False,99.0,Office,"Office, Parking",LAKE UNION,Small- and Mid-Sized Office,SPRAG,1959700023
1094,2633 EASTLAKE AVE E #307,NonResidential,Compliant,2016,False,91.0,Office,"Office, Parking",LAKE UNION,Small- and Mid-Sized Office,Eastlake Professional Center,1959700075
1095,2727 Eastlake Ave E,Multifamily LR (1-4),Compliant,2016,False,67.0,Multifamily Housing,Multifamily Housing,LAKE UNION,Low-Rise Multifamily,Trimark-Remi Apartments,1959701270
1096,2825 Eastlake AVE E,NonResidential,Compliant,2016,False,62.0,Office,"Office, Other, Parking",LAKE UNION,Large Office,Eastlake Center (North & South),1959701300
1097,2851 Eastlake Avenue E,Multifamily MR (5-9),Compliant,2016,False,84.0,Multifamily Housing,Multifamily Housing,LAKE UNION,Mid-Rise Multifamily,53441 - Eastlake Apartments,1959701330
1098,2840 Eastlake Ave E,Multifamily MR (5-9),Compliant,2016,False,77.0,Multifamily Housing,Multifamily Housing,LAKE UNION,Mid-Rise Multifamily,Coronado Apartments,1959701365
1099,2815 Boylston Avenue East,Multifamily LR (1-4),Compliant,2016,False,77.0,Multifamily Housing,Multifamily Housing,LAKE UNION,Low-Rise Multifamily,The Shelby Apartments,1959701480
1100,3008 Harvard Ave E,Multifamily LR (1-4),Compliant,2016,False,52.0,Multifamily Housing,"Multifamily Housing, Parking",NORTHEAST,Low-Rise Multifamily,Killarney Apartments,1959702235
1101,2901 Franklin Ave E,Multifamily LR (1-4),Compliant,2016,False,76.0,Multifamily Housing,"Multifamily Housing, Parking",LAKE UNION,Low-Rise Multifamily,L'Amourita Cooperative Building,1959702631
1102,3230 Eastlake Ave E,Multifamily LR (1-4),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Other - Restaurant/Bar, Parking, Retail Store",NORTHEAST,Low-Rise Multifamily,Eastlake Gardens Apartments,1959703130
1103,3218 EASTLAKE AVE E,Multifamily MR (5-9),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Parking",NORTHEAST,Mid-Rise Multifamily,Union Bay Lofts,1959703145
1104,3515 WOODLAND PARK AVE N,NonResidential,Compliant,2016,False,49.0,Residence Hall/Dormitory,Residence Hall/Dormitory,LAKE UNION,Residence Hall,(ID20861) KEYSTONE GROUP HOME,1825049055
1105,3400 Stone Way N,NonResidential,Compliant,2016,False,98.0,Office,"Office, Other, Parking, Restaurant",LAKE UNION,Large Office,Stone 34,1825049072
1106,1000 North Northlake Way,NonResidential,Compliant,2016,False,48.0,Office,Office,LAKE UNION,Small- and Mid-Sized Office,The Production Network,1825049143
1107,2033 2nd Avenue,Multifamily HR (10+),Compliant,2016,False,1.0,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",DOWNTOWN,High-Rise Multifamily,Cristalla-300,1843050000
1108,1207 NW 92nd St,Multifamily LR (1-4),Compliant,2016,False,78.0,Multifamily Housing,Multifamily Housing,BALLARD,Low-Rise Multifamily,Imperial Crown Manor Apartments,1862400360
1109,820 NW 95th Street,NonResidential,Compliant,2016,False,3.0,Senior Care Community,"Parking, Senior Care Community",BALLARD,Senior Care Community,Ballard Center,1865400030
1110,6215 33rd Ave. NE,NonResidential,Compliant,2016,False,82.0,Worship Facility,Worship Facility,NORTHEAST,Worship Facility,Assumption Church,1868903240
1111,6220 32nd Ave. NE,NonResidential,Compliant,2016,False,79.0,K-12 School,K-12 School,NORTHEAST,K-12 School,ASB School,1868903240
1112,4116 California Ave SW,Multifamily LR (1-4),Compliant,2016,False,57.0,Multifamily Housing,Multifamily Housing,SOUTHWEST,Low-Rise Multifamily,Dakota Condominiums,1887550000
1113,5803 24th Ave NW,Multifamily MR (5-9),Compliant,2016,False,88.0,Multifamily Housing,"Multifamily Housing, Parking",BALLARD,Mid-Rise Multifamily,Danielle Condominium,1888700000
1114,400 NE 45th St # 120,Multifamily LR (1-4),Compliant,2016,False,76.0,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",LAKE UNION,Mixed Use Property,Cosmopolitan Apartments,1890000005
1115,123 N. 79th St.,NonResidential,Compliant,2016,False,98.0,Office,Office,NORTHWEST,Small- and Mid-Sized Office,St. John Egan Hall,1646500985
1116,120 N. 79th St.,NonResidential,Compliant,2016,False,43.0,K-12 School,K-12 School,NORTHWEST,K-12 School,St. John School,1646501150
1117,4020 AURORA AVE N,Multifamily LR (1-4),Compliant,2016,False,78.0,Multifamily Housing,"Multifamily Housing, Office",LAKE UNION,Low-Rise Multifamily,COBRIZO CONDOMINIUM (ID20921),1658000000
1118,4118 SW College Street,Multifamily LR (1-4),Compliant,2016,False,79.0,Multifamily Housing,Multifamily Housing,SOUTHWEST,Low-Rise Multifamily,College Park West,1684050000
1119,10001 57th Ave. S,NonResidential,Compliant,2016,False,69.0,Worship Facility,Worship Facility,SOUTHEAST,Worship Facility,St. Paul Church & School,1686400005
1120,411 Boston St.,SPS-District K-12,Compliant,2016,False,94.0,K-12 School,K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,Queen Anne Elementary,1689400145
1121,1113 1ST AVE,Multifamily MR (5-9),Compliant,2016,False,1.0,Multifamily Housing,"Multifamily Housing, Parking",DOWNTOWN,Mid-Rise Multifamily,Colonial Grand Pacific ID20945,1697500000
1122,3528 Ferdinand St.,SPS-District K-12,Error - Correct Default Data,2016,True,79.0,K-12 School,K-12 School,SOUTHEAST,K-12 School,Columbia Building,1703400755
1123,4416 S Brandon St,NonResidential,Compliant,2016,False,51.0,Senior Care Community,"Parking, Senior Care Community",SOUTHEAST,Senior Care Community,Kin On Health Care Center,1704900435
1124,650 S. Lucile St,NonResidential,Compliant,2016,False,62.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,NWCP-SEA Bldg E,1722800145
1125,637 S LUCILE ST,NonResidential,Compliant,2016,False,,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,GREATER DUWAMISH,Other,Terreno Lucile,1722800223
1126,5506 6th Ave S.,NonResidential,Compliant,2016,False,69.0,Office,"Non-Refrigerated Warehouse, Office",GREATER DUWAMISH,Small- and Mid-Sized Office,The Hathaway Building,1722800285
1127,650 South Orcas Street,NonResidential,Compliant,2016,False,67.0,Office,Office,GREATER DUWAMISH,Small- and Mid-Sized Office,Building R,1722800585
1128,670 South Orcas Street,NonResidential,Compliant,2016,False,,Other - Recreation,"Non-Refrigerated Warehouse, Other - Recreation",GREATER DUWAMISH,Other,Building Q,1722800620
1129,707 S Orcas St,NonResidential,Compliant,2016,False,,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office",GREATER DUWAMISH,Warehouse,Orcas Maintenance Shop,1722800985
1130,5700 Sixth Avenue South,NonResidential,Compliant,2016,False,,Office,"Non-Refrigerated Warehouse, Office",GREATER DUWAMISH,Small- and Mid-Sized Office,Building P,1722801079
1131,655 South Orcas Street,NonResidential,Compliant,2016,False,41.0,Office,Office,GREATER DUWAMISH,Small- and Mid-Sized Office,Building O,1722801080
1132,661 South Orcas Street,NonResidential,Compliant,2016,False,65.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,GREATER DUWAMISH,Warehouse,Building N,1722801081
1133,4000 aurora ave n,NonResidential,Compliant,2016,False,95.0,Office,Office,LAKE UNION,Small- and Mid-Sized Office,4000 aurora building,1931300585
1134,3316 Fuhrman Ave E,NonResidential,Compliant,2016,False,,Office,"Non-Refrigerated Warehouse, Office, Other",NORTHEAST,Mixed Use Property,George Pocock Memorial Rowing Center,1959703275
1135,3618 Francis Ave N,Multifamily LR (1-4),Compliant,2016,False,86.0,Multifamily Housing,Multifamily Housing,LAKE UNION,Low-Rise Multifamily,Francis Ave Apartments,1972200610
1136,600 N. 36th Street,NonResidential,Compliant,2016,False,,Office,"Multifamily Housing, Office, Parking, Retail Store",LAKE UNION,Small- and Mid-Sized Office,Fremont Space,1972201005
1137,3800 Aurora Ave N,Multifamily LR (1-4),Compliant,2016,False,72.0,Multifamily Housing,"Multifamily Housing, Office",LAKE UNION,Low-Rise Multifamily,THE NORTHBRIDGE,1972201725
1138,920 N 34th ST,Multifamily MR (5-9),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office, Parking",LAKE UNION,Mid-Rise Multifamily,St James Tower,1972202600
1139,936 N 34TH ST,NonResidential,Compliant,2016,False,94.0,Office,"Office, Parking",LAKE UNION,Small- and Mid-Sized Office,Northlake Plaza,1972202635
1140,116 Stewart St.,Multifamily MR (5-9),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Retail Store",DOWNTOWN,Mid-Rise Multifamily,Plymouth on Stewart,1977200970
1141,1921 3rd Ave,Multifamily MR (5-9),Error - Correct Default Data,2016,True,80.0,Multifamily Housing,"Multifamily Housing, Retail Store",DOWNTOWN,Mid-Rise Multifamily,Haddon Hall,1977201050
1142,1915 Third Ave.,NonResidential,Compliant,2016,False,,Self-Storage Facility,Self-Storage Facility,DOWNTOWN,Self-Storage Facility,Belltown Self Storage,1977201055
1143,1902 Second Avenue,Multifamily HR (10+),Compliant,2016,False,67.0,Multifamily Housing,"Multifamily Housing, Other, Retail Store",DOWNTOWN,High-Rise Multifamily,Josephinum,1977201060
1144,1907 3RD AVE,NonResidential,Compliant,2016,False,5.0,Retail Store,Retail Store,DOWNTOWN,Retail Store,BERGMAN'S LUGGAGE,1977201070
1145,211 Lenora Street,Multifamily MR (5-9),Compliant,2016,False,72.0,Multifamily Housing,"Multifamily Housing, Parking, Retail Store",DOWNTOWN,Mid-Rise Multifamily,Marq 211,1977201090
1146,2001 3RD AVENUE,NonResidential,Compliant,2016,False,93.0,Retail Store,Retail Store,DOWNTOWN,Retail Store,"SWIFTY PRINTING & DIGITAL IMAGING, INC.",1977201135
1147,2000 Second Avenue,NonResidential,Compliant,2016,False,93.0,,Hotel,DOWNTOWN,Hotel,Palladian Hotel,1977201140
1148,2132 2nd Ave,Multifamily MR (5-9),Compliant,2016,False,98.0,Multifamily Housing,Multifamily Housing,DOWNTOWN,Mid-Rise Multifamily,Castle Apartments,1977201145
1149,2121 3rd Ave,Multifamily MR (5-9),Compliant,2016,False,1.0,Multifamily Housing,Multifamily Housing,DOWNTOWN,Mid-Rise Multifamily,Simons Senior Apartments,1977201155
1150,2106 2nd Avenue,NonResidential,Compliant,2016,False,75.0,Office,Office,DOWNTOWN,Small- and Mid-Sized Office,DSHS Belltown Center,1977201181
1151,2021 4th Ave,Multifamily MR (5-9),Compliant,2016,False,93.0,Multifamily Housing,Multifamily Housing,DOWNTOWN,Mid-Rise Multifamily,Stratford on 4th Apartments,1977201230
1152,903 Union St.,Multifamily HR (10+),Compliant,2016,False,95.0,Multifamily Housing,Multifamily Housing,EAST,High-Rise Multifamily,Cambridge Apartments,1978200225
1153,900 University Street,Multifamily HR (10+),Compliant,2016,False,71.0,Senior Care Community,"Parking, Senior Care Community",EAST,Senior Care Community,Horizon House,1978200250
1154,1218 Terry Ave,NonResidential,Compliant,2016,False,92.0,Office,Office,EAST,Small- and Mid-Sized Office,Administration - Cassel Crag,1978200285
1155,1021 University St.,NonResidential,Compliant,2016,False,,Other,Other,EAST,Other,Sunset Club,1978200290
1156,1000 Seneca St,NonResidential,Compliant,2016,False,1.0,Office,Office,EAST,Small- and Mid-Sized Office,Administration - Blackford Hall,1978200305
1157,1020 Seneca St,Multifamily MR (5-9),Compliant,2016,False,28.0,Multifamily Housing,Multifamily Housing,EAST,Mid-Rise Multifamily,John Winthrop Apartments,1978200315
1158,712 N 34th St,NonResidential,Compliant,2016,False,,Non-Refrigerated Warehouse,"Non-Refrigerated Warehouse, Office, Retail Store",LAKE UNION,Warehouse,Canal Building,1972202680
1159,3424 Fremont Ave. N.,NonResidential,Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office, Other - Mall, Parking, Restaurant",LAKE UNION,Mixed Use Property,Fremont Court-Equinox Building,1972202755
1160,708 N 35th St,Multifamily LR (1-4),Compliant,2016,False,98.0,Multifamily Housing,Multifamily Housing,LAKE UNION,Low-Rise Multifamily,Bridgeview Apartments,1972202855
1161,701 North 36th Street,NonResidential,Compliant,2016,False,79.0,Office,"Office, Parking, Retail Store",LAKE UNION,Small- and Mid-Sized Office,The Peck Building,1972202940
1162,3515 Fremont Ave N,NonResidential,Compliant,2016,False,98.0,Retail Store,"Hotel, Retail Store",LAKE UNION,Retail Store,Dubliner Building,1972203060
1163,3417 Fremont Ave N.,NonResidential,Compliant,2016,False,88.0,Retail Store,"Office, Retail Store",LAKE UNION,Retail Store,The Fremont Building,1972203160
1164,620 N 34th St,Multifamily MR (5-9),Compliant,2016,False,93.0,Multifamily Housing,"Multifamily Housing, Parking",LAKE UNION,Mid-Rise Multifamily,030611 - Epicenter Apartments (City of Seattle),1972203170
1165,3417 Evanston Ave. N.,NonResidential,Compliant,2016,False,95.0,Office,"Bank Branch, Bar/Nightclub, Office, Parking",LAKE UNION,Mixed Use Property,Saturn Building,1972203435
1166,124 North 35th Street,NonResidential,Compliant,2016,False,5.0,Distribution Center,Distribution Center,LAKE UNION,Distribution Center,124N35,1972203870
1167,154 N 35TH ST,NonResidential,Compliant,2016,False,,Office,"Multifamily Housing, Office",LAKE UNION,Small- and Mid-Sized Office,FREMONT FOUNDRY,1972203920
1168,155 North 35th Street,NonResidential,Compliant,2016,False,,Other,Other,LAKE UNION,Other,155N35,1972204025
1169,123 NW 36th St,NonResidential,Compliant,2016,False,47.0,Office,"Office, Parking",LAKE UNION,Small- and Mid-Sized Office,Fremont West Building,1972204350
1170,13 W. Cremona St.,Multifamily LR (1-4),Compliant,2016,False,91.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,The Wesley at Cremona,1972204925
1171,58 W Dravus,NonResidential,Compliant,2016,False,81.0,Worship Facility,"Other, Worship Facility",MAGNOLIA / QUEEN ANNE,Worship Facility,First Free Methodist Church,1972204965
1172,101 Nickerson St,NonResidential,Compliant,2016,False,82.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,101 Nickerson,1972205940
1173,41 Dravus St,Multifamily LR (1-4),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office, Other, Parking, Retail Store",MAGNOLIA / QUEEN ANNE,Mixed Use Property,41 Dravus St,1972206040
1174,4 Nickerson,NonResidential,Compliant,2016,False,43.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,4 Nick,1972206360
1175,6 Nickerson,NonResidential,Compliant,2016,False,67.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,6 Nick,1972206390
1176,2 Nickerson,NonResidential,Compliant,2016,False,54.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,2 Nick,1972206435
1177,437 N 34th Street,NonResidential,Compliant,2016,False,,Other,Other,LAKE UNION,Other,"Seventeen Meters, LLC",1972206512
1178,150 Nickerson Street,NonResidential,Compliant,2016,False,57.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,Canal Place - 150 Building,1972206650
1179,130 Nickerson Street,NonResidential,Compliant,2016,False,29.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,Canal Place - 130 Building,1972206650
1180,180 & 192 Nickerson St,NonResidential,Compliant,2016,False,86.0,Office,Office,MAGNOLIA / QUEEN ANNE,Small- and Mid-Sized Office,Canal Place Office Park,1972206670
1181,117 S. Main,NonResidential,Compliant,2016,False,77.0,Office,Office,DOWNTOWN,Small- and Mid-Sized Office,Union Trust Annex,5247800365
1182,5615 W Marginal Way SW,NonResidential,Compliant,2016,False,,Distribution Center,"Distribution Center, Office",DELRIDGE,Distribution Center,Alaska Marine Lines,1924049081
1183,602 Galer Street,Multifamily LR (1-4),Compliant,2016,False,76.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Low-Rise Multifamily,Cascade Terrace,1925049005
1184,1102 8th Ave,Multifamily HR (10+),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Retail Store",EAST,High-Rise Multifamily,LOWELL-EMERSON,1979200186
1185,1735 Dexter Ave. North,Multifamily MR (5-9),Compliant,2016,False,80.0,Multifamily Housing,"Multifamily Housing, Parking",MAGNOLIA / QUEEN ANNE,Mid-Rise Multifamily,Summit At Lake Union,1925049037
1186,718 N 143rd St,Multifamily LR (1-4),Compliant,2016,False,39.0,Multifamily Housing,Multifamily Housing,NORTHWEST,Low-Rise Multifamily,Tri-Court,1926049008
1187,14300 Greenwood Ave N,Multifamily LR (1-4),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Office, Parking, Retail Store",NORTHWEST,Low-Rise Multifamily,Nelson Apartments,1926049016
1188,811 N 130th,Multifamily LR (1-4),Compliant,2016,False,82.0,Multifamily Housing,Multifamily Housing,NORTHWEST,Low-Rise Multifamily,Sterling Manor Apartments,1926049082
1189,13100 Stone Avenue North,NonResidential,Compliant,2016,False,,Other,Other,NORTHWEST,Other,Stone Avenue Building,1926049122
1190,13030 Linden Avenue N,Multifamily MR (5-9),Compliant,2016,False,86.0,Multifamily Housing,"Multifamily Housing, Office, Other, Parking",NORTHWEST,Mid-Rise Multifamily,Cambridge at Bitter Lake,1926049133
1191,1440 N 128th St,NonResidential,Compliant,2016,False,,Other - Recreation,Other - Recreation,NORTHWEST,Other,Granite Curling Club,1926049180
1192,12500 Aurora Avenue North,NonResidential,Compliant,2016,False,62.0,Office,"Non-Refrigerated Warehouse, Office",NORTHWEST,Small- and Mid-Sized Office,"Cochran, Inc",1926049190
1193,14355 Linden Ave N,Multifamily LR (1-4),Compliant,2016,False,38.0,Multifamily Housing,"Multifamily Housing, Parking",NORTHWEST,Low-Rise Multifamily,Northline Apartments,1926049216
1194,1155 (1157) N 130th Ave,Nonresidential COS,Compliant,2016,False,,Residential Care Facility,Residential Care Facility,NORTHWEST,Other,Mary's Place (PI Bank),1926049218
1195,12645 Ashworth Ave N,Nonresidential COS,Compliant,2016,False,,Other - Services,"Office, Other - Services",NORTHWEST,Other,HLF FFD VMG (A),1926049286
1196,12645 Stone Ave N,NonResidential,Compliant,2016,False,73.0,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,NORTHWEST,Warehouse,Comcast,1926049290
1197,12525 STONE AVE N,NonResidential,Compliant,2016,False,,Other - Public Services,"Other - Public Services, Parking",NORTHWEST,Other,(ID#21221) KC Metro Transit North Facilities Maintenance,1926049293
1198,911 N 145th,NonResidential,Compliant,2016,False,27.0,Office,"Office, Parking",NORTHWEST,Small- and Mid-Sized Office,Laurel Building,1926049335
1199,747 North 135th Street,Multifamily MR (5-9),Compliant,2016,False,44.0,Multifamily Housing,"Multifamily Housing, Parking",NORTHWEST,Mid-Rise Multifamily,"Four Freedoms House of Seattle, Inc.",1926049347
1200,13410 Greenwood Ave North,Multifamily LR (1-4),Compliant,2016,False,76.0,Multifamily Housing,"Multifamily Housing, Parking",NORTHWEST,Low-Rise Multifamily,The View at Bitter Lake Apartments,1926049362
1201,13244 Aurora Avenue North,NonResidential,Compliant,2016,False,,Other - Recreation,Other - Recreation,NORTHWEST,Other,Fitness International North Seattle,1926049370
1202,620 N 130th St,Multifamily LR (1-4),Compliant,2016,False,51.0,Multifamily Housing,Multifamily Housing,NORTHWEST,Low-Rise Multifamily,Bitter Lake Manor,1926049389
1203,13000 AURORA AVE N,NonResidential,Compliant,2016,False,43.0,Retail Store,Retail Store,NORTHWEST,Retail Store,PETSMART 0375 (ID21236),1926049423
1204,13000 Linden Avenue N,Multifamily MR (5-9),Compliant,2016,False,95.0,Multifamily Housing,"Lifestyle Center, Multifamily Housing, Office, Parking",NORTHWEST,Mid-Rise Multifamily,New Haven at Bitter Lake,1926049438
1205,5701 8th Ave N,NonResidential,Compliant,2016,False,78.0,Worship Facility,"Parking, Worship Facility",NORTHEAST,Worship Facility,Seattle North,1928300405
1206,5901 Roosevelt Way NE,Multifamily LR (1-4),Compliant,2016,False,,Multifamily Housing,"Multifamily Housing, Retail Store",NORTHEAST,Low-Rise Multifamily,146 Shoreline LLC,1928300940
1207,2619 4th Ave North,NonResidential,Compliant,2016,False,82.0,K-12 School,K-12 School,MAGNOLIA / QUEEN ANNE,K-12 School,"Seattle Country Day School Bldgs 1,2 & 4",1929300110
1208,2717 Dexter Ave N,NonResidential,Compliant,2016,False,73.0,Senior Care Community,Senior Care Community,MAGNOLIA / QUEEN ANNE,Senior Care Community,Queen Anne Healthcare,1929300390
1209,2127 2nd Ave,Multifamily LR (1-4),Compliant,2016,False,98.0,Multifamily Housing,"Multifamily Housing, Retail Store",DOWNTOWN,Low-Rise Multifamily,rivoli apartments,1977200695
1210,2119 2ND AVE,NonResidential,Compliant,2016,False,47.0,Residence Hall/Dormitory,Residence Hall/Dormitory,DOWNTOWN,Residence Hall,(ID21262) El Rey Apts,1977200720
1211,2100 First Avenue & 106 Lenora Street,NonResidential,Compliant,2016,False,36.0,Retail Store,"Office, Parking, Retail Store",DOWNTOWN,Retail Store,N0030 - Patagonia/DKA,1977200735
1212,2030 First Avenue,NonResidential,Compliant,2016,False,98.0,Office,"Office, Retail Store",DOWNTOWN,Small- and Mid-Sized Office,First & Lenora,1977200855
